AnlagenschlÃ¼ssel;Ãœbertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;EnergietrÃ¤ger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;BundeslandkÃ¼rzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;FlurstÃ¼ck
E41081010000000000000000000134777;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;44.29;ja;;regelbar nach § 6 Abs. 2 EEG;nein;null;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000149121;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;101.2;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
E41081010000000000000000000149121;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;101.25;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000029887;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.9;nein;;nicht regelbar;nein;null;08.06.2006;;;;SN;Leipzig;Wiederitzsch;04158;Zum Feld;2;;
E41081010000000000000000000029887;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.92;nein;;nicht regelbar;nein;null;08.06.2006;;;;SN;Leipzig;Wiederitzsch;04158;Zum Feld;2;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000001601800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.7;nein;;;nein;null;26.07.2004;;;;SN;Leipzig;;04157;Zschortauer Str.;100;;
E40770010000010000000001601800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.68;nein;;;nein;null;26.07.2004;;;;SN;Leipzig;;04157;Zschortauer Str.;100;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000005658600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.4;nein;;;nein;null;30.03.2012;;;;SN;Leipzig;;04318;Zweenfurther Str.;2a;;
E40770010000010000000005658600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.44;nein;;;nein;null;30.03.2012;;;;SN;Leipzig;;04318;Zweenfurther Str.;2a;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000126794;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.0;nein;;nicht regelbar;nein;null;02.06.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;73;;
E41081010000000000000000000126794;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.95;nein;;nicht regelbar;nein;null;02.06.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;73;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000003212600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.6;nein;;;nein;null;30.10.2008;;;;SN;Leipzig;;04289;Gottfried-Keller-Str.;4;;
E40770010000010000000003212600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.55;nein;;;nein;null;30.10.2008;;;;SN;Leipzig;;04289;Gottfried-Keller-Str.;4;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004867300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.5;nein;;;nein;null;30.12.2010;;;;SN;Leipzig;;04329;Ilse-Decho-Weg;32;;
E40770010000010000000004867300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.48;nein;;;nein;null;30.12.2010;;;;SN;Leipzig;;04329;Ilse-Decho-Weg;32;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000001806800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.0;nein;;;nein;null;11.01.2007;;;;SN;Leipzig;;04155;Eisenacher Str.;26;;
E40770010000010000000001806800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.98;nein;;;nein;null;11.01.2007;;;;SN;Leipzig;;04155;Eisenacher Str.;26;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000000477700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.7;nein;;;nein;null;07.11.2001;;;;SN;Leipzig;;04249;Menzingerweg;31;;
E40770010000010000000000477700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.72;nein;;;nein;null;07.11.2001;;;;SN;Leipzig;;04249;Menzingerweg;31;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Fehler;;;;;;;;;;;;;;;;;;;
E41081010000000000000000000009968;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Wind;MS;850.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;12.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;
E41081010000000000000000000009968;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Windenergie;MS;850;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;12.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000030173;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.5;nein;;nicht regelbar;nein;null;16.05.2006;;;;SN;Leipzig;Mölkau;04316;Am Gutspark;37;;
E41081010000000000000000000030173;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.51;nein;;nicht regelbar;nein;null;16.05.2006;;;;SN;Leipzig;Mölkau;04316;Am Gutspark;37;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000028815;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.8;nein;;nicht regelbar;nein;null;23.05.2006;;;;SN;Leipzig;Mölkau;04316;Auguste-Hennig-Str.;9;;
E41081010000000000000000000028815;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.75;nein;;nicht regelbar;nein;null;23.05.2006;;;;SN;Leipzig;Mölkau;04316;Auguste-Hennig-Str.;9;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000177675;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;;nicht regelbar;nein;null;28.09.2011;;;;SN;Leipzig;Engelsdorf;04319;Harbigweg;3;;
E41081010000000000000000000177675;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.95;nein;;nicht regelbar;nein;null;28.09.2011;;;;SN;Leipzig;Engelsdorf;04319;Harbigweg;3;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000182269;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.0;nein;;nicht regelbar;nein;null;14.11.2011;;;;SN;Leipzig;Mölkau;04316;Drosselhang;18;;
E41081010000000000000000000182269;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.95;nein;;nicht regelbar;nein;null;14.11.2011;;;;SN;Leipzig;Mölkau;04316;Drosselhang;18;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;20.03.2012;;;;SN;Leipzig;;04357;Gontscharowstr.;23;;
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3;nein;;;nein;null;02.07.2012;;;;SN;Leipzig;;04357;Gontscharowstr.;23;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000031319;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.6;nein;;nicht regelbar;nein;null;08.09.2006;;;;SN;Leipzig;Seehausen;04356;Dohlenweg;14;;
E41081010000000000000000000031319;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.64;nein;;nicht regelbar;nein;null;08.09.2006;;;;SN;Leipzig;Seehausen;04356;Dohlenweg;14;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000002453200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;;nein;null;21.12.2007;;;;SN;Leipzig;;04159;Fucikstr.;15b;;
E40770010000010000000002453200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.82;nein;;;nein;null;21.12.2007;;;;SN;Leipzig;;04159;Fucikstr.;15b;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000162657;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.6;nein;;nicht regelbar;nein;null;30.04.2011;;;;SN;Leipzig;Wiederitzsch;04158;Georg-Herwegh-Str.;11;;
E41081010000000000000000000162657;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.55;nein;;nicht regelbar;nein;null;30.04.2011;;;;SN;Leipzig;Wiederitzsch;04158;Georg-Herwegh-Str.;11;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;70 % Begrenzung;nein;null;28.03.2012;;;;SN;Leipzig;;04205;Lauschaer Weg;5;;
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;70 % Begrenzung;nein;null;27.04.2012;;;;SN;Leipzig;;04205;Lauschaer Weg;5;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.0;nein;;70 % Begrenzung;nein;null;30.03.2012;;;;SN;Leipzig;;04177;Jordanstr.;1;;
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7;nein;;70 % Begrenzung;nein;null;27.04.2012;;;;SN;Leipzig;;04177;Jordanstr.;1;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Fehler;Fehler;;
E40770010000010000000005322600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.0;nein;;;nein;null;04.08.2011;;;;SN;Leipzig;;04329;Goldene Hufe;71;;
E40770010000010000000005322600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9;nein;;;nein;null;04.08.2011;;;;SN;Leipzig;;04329;Goldene Hufe Flst;1,1407;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000197835;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;11.3;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;12.09.2012;;;;SN;Leipzig;Knautkleeberg-Knauthain;04249;Erikenstr.;37;;
E41081010000000000000000000197835;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;11.31;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;12.09.2012;;;;SN;Leipzig;Knautkleeberg-Knauthain;04249;Erikenstr.;37;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000202687;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;13.0;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;22.11.2012;;;;SN;Leipzig;Plaußig-Portitz;04349;Am Kellerberg;7;;
E41081010000000000000000000202687;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;12.99;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;22.11.2012;;;;SN;Leipzig;Plaußig-Portitz;04349;Am Kellerberg;7;;
