Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E40770010000140961701980220000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.410;;;;;;11.12.2002;;;;SN;Leipzig;;04277;Arno-Nitzsche-Str.;35;;;NetzLeipzig.pdf
E40770010000010000000000492700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.100;;;;;;25.08.2003;;;;SN;Leipzig;;04249;Gleitsmannstr.;6;;;NetzLeipzig.pdf
E40770010000010000000000493200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;06.11.2003;;;;SN;Leipzig;;04159;Swiftstr.;15;;;NetzLeipzig.pdf
E40770010000010000000000493500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.900;;;;;;29.10.2003;;;;SN;Leipzig;;04249;Seumestr.;135;;;NetzLeipzig.pdf
E40770010000010000000000496700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.130;;;;;;22.05.2003;;;;SN;Leipzig;;04159;Defoestr.;5;;;NetzLeipzig.pdf
E40770010000010000000000502100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.960;;;;;;17.04.2003;;;;SN;Leipzig;;04129;Melchthalweg;9;;;NetzLeipzig.pdf
E40770010000010000000000559400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.920;;;;;;09.06.2003;;;;SN;Leipzig;;04275;R.-Lehmann-Str.;8;;;NetzLeipzig.pdf
E40770010000010000000000241100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.100;;;;;;21.06.2004;;;;SN;Leipzig;;04249;Dieskaustr.;290;;;NetzLeipzig.pdf
E40770010000010000000000466100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.500;;;;;;20.12.2004;;;;SN;Leipzig;;04159;Thärigenstr.;5;;;NetzLeipzig.pdf
E40770010000010000000000493700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.360;;;;;;13.02.2004;;;;SN;Leipzig;;04179;Ellernweg;5;;;NetzLeipzig.pdf
E40770010000010000000000493900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.125;;;;;;06.02.2004;;;;SN;Leipzig;;04357;Mendelejewstr.;1a;;;NetzLeipzig.pdf
E40770010000010000000000494500002;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.270;;;;;;06.04.2004;;;;SN;Leipzig;;04155;Stallbaumstr.;5;;;NetzLeipzig.pdf
E40770010000010000000000494900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;14.400;;;;;;03.05.2004;;;;SN;Leipzig;;04103;Nürnberger Str.;48;;;NetzLeipzig.pdf
E40770010000010000000000495400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;16.04.2004;;;;SN;Leipzig;;04299;Kolmstr.;97;;;NetzLeipzig.pdf
E40770010000010000000000495600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.980;;;;;;03.06.2004;;;;SN;Leipzig;;04347;Volbedingstr.;13;;;NetzLeipzig.pdf
E40770010000010000000000495700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.500;;;;;;02.12.2004;;;;SN;Leipzig;;04299;Naunhofer Str.;89;;;NetzLeipzig.pdf
E40770010000010000000000496100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.550;;;;;;02.11.2004;;;;SN;Leipzig;;04249;Büttnerweg;16;;;NetzLeipzig.pdf
E40770010000010000000000501200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.740;;;;;;29.11.2004;;;;SN;Leipzig;;04229;Weißenfelser Str.;5;;;NetzLeipzig.pdf
E40770010000010000000000609100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.440;;;;;;29.12.2004;;;;SN;Leipzig;;04207;Lausner Weg;16a;;;NetzLeipzig.pdf
E40770010000010000000000646400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;30.000;;;;;;28.12.2004;;;;SN;Leipzig;;04347;Poser Str.;33;;;NetzLeipzig.pdf
E40770010000010000000000764100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.080;;;;;;15.03.2004;;;;SN;Leipzig;;04249;Schwarzdornweg;15;;;NetzLeipzig.pdf
E40770010000010000000001162400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.125;;;;;;19.05.2004;;;;SN;Leipzig;;04159;Swiftstr.;7b;;;NetzLeipzig.pdf
E40770010000010000000001601800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;9.680;;;;;;26.07.2004;;;;SN;Leipzig;;04157;Zschortauer Str.;100;;;NetzLeipzig.pdf
E40770010000010000000002663800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;0.750;;;;;;03.06.2004;;;;SN;Leipzig;;04105;Pfaffendorfer Str.;2;;;NetzLeipzig.pdf
E40770010000282929000931880000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.300;;;;;;29.11.2004;;;;SN;Leipzig;;04177;Angerstr.;14;;;NetzLeipzig.pdf
E40770010000010000000000335400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.400;;;;;;24.08.2005;;;;SN;Leipzig;;04109;Markt;16;;;NetzLeipzig.pdf
E40770010000010000000000717200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.750;;;;;;24.03.2005;;;;SN;Leipzig;;04318;Resedaweg;7;;;NetzLeipzig.pdf
E40770010000010000000000717400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.000;;;;;;16.03.2005;;;;SN;Leipzig;;04207;Lobensteiner Str.;9;;;NetzLeipzig.pdf
E40770010000010000000000869900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.970;;;;;;23.08.2005;;;;SN;Leipzig;;04179;W.-Zipperer-Str.;156;;;NetzLeipzig.pdf
E40770010000010000000000872400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.750;;;;;;10.08.2005;;;;SN;Leipzig;;04318;Lamprechtstr.;13;;;NetzLeipzig.pdf
E40770010000010000000000873300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.600;;;;;;27.07.2005;;;;SN;Leipzig;;04279;Cröberner Str.;13;;;NetzLeipzig.pdf
E40770010000010000000000978600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.000;;;;;;22.09.2005;;;;SN;Leipzig;;04299;Sonnenwinkel;26;;;NetzLeipzig.pdf
E40770010000010000000001153100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.460;;;;;;01.12.2005;;;;SN;Leipzig;;04349;Plösener Str.;13;;;NetzLeipzig.pdf
E40770010000010000000001154500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.760;;;;;;06.12.2005;;;;SN;Leipzig;;04329;Ilse-Decho-Weg;2;;;NetzLeipzig.pdf
E40770010000010000000001154800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.080;;;;;;07.11.2005;;;;SN;Leipzig;;04249;Ritterlingsweg;11;;;NetzLeipzig.pdf
E40770010000010000000001155200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.200;;;;;;01.12.2005;;;;SN;Leipzig;;04349;Tauchaer Str.;272;;;NetzLeipzig.pdf
E40770010000010000000001156100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.600;;;;;;28.12.2005;;;;SN;Leipzig;;04328;Weinbrennerstr.;39;;;NetzLeipzig.pdf
E40770010000010000000001158900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;6.300;;;;;;20.10.2005;;;;SN;Leipzig;;04129;An der Querbreite;6;;;NetzLeipzig.pdf
E40770010000010000000001162400002;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.375;;;;;;23.12.2005;;;;SN;Leipzig;;04159;Swiftstr.;7b;;;NetzLeipzig.pdf
E40770010000010000000001169800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.940;;;;;;16.12.2005;;;;SN;Leipzig;;04129;Dübener Lnadstr.;3;;;NetzLeipzig.pdf
E40770010000010000000001177900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.460;;;;;;25.11.2005;;;;SN;Leipzig;;04318;Kötzschkestr.;10;;;NetzLeipzig.pdf
E40770010000010000000001471800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.610;;;;;;28.12.2005;;;;SN;Leipzig;;04207;Lausner Weg;51;;;NetzLeipzig.pdf
E40770010000010000000001471900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.630;;;;;;28.12.2005;;;;SN;Leipzig;;04207;Lausner Weg;51;;;NetzLeipzig.pdf
E40770010000010000000001603600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;0.950;;;;;;02.12.2005;;;;SN;Leipzig;;04249;Schwarzdornweg;21;;;NetzLeipzig.pdf
E40770010000010000000001334600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.400;;;;;;21.03.2006;;;;SN;Leipzig;;04318;Kötzschkestr.;12;;;NetzLeipzig.pdf
E40770010000010000000001334900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.920;;;;;;06.02.2006;;;;SN;Leipzig;;04277;Stockartstr.;26;;;NetzLeipzig.pdf
E40770010000010000000001386400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.600;;;;;;12.06.2006;;;;SN;Leipzig;;04207;Lobensteiner Str.;7;;;NetzLeipzig.pdf
E40770010000010000000001386600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.600;;;;;;31.05.2006;;;;SN;Leipzig;;04328;Seegeritzerstr.;15;;;NetzLeipzig.pdf
E40770010000010000000001395000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.250;;;;;;06.04.2006;;;;SN;Leipzig;;04357;Turgenjewstr.;4;;;NetzLeipzig.pdf
E40770010000010000000001452400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.600;;;;;;14.07.2006;;;;SN;Leipzig;;04349;Am Keulenberg;71;;;NetzLeipzig.pdf
E40770010000010000000001452600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.100;;;;;;27.06.2006;;;;SN;Leipzig;;04157;Heinrich-Mann-Str.;46;;;NetzLeipzig.pdf
E40770010000010000000001469400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.550;;;;;;06.07.2006;;;;SN;Leipzig;;04249;Hubertusstr.;115;;;NetzLeipzig.pdf
E40770010000010000000001469500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.200;;;;;;31.07.2006;;;;SN;Leipzig;;04179;Groitzscher Str.;65;;;NetzLeipzig.pdf
E40770010000010000000001469600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.950;;;;;;07.07.2006;;;;SN;Leipzig;;04349;U.-Götze-Str.;5;;;NetzLeipzig.pdf
