Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000133326;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.0;;;;nein;null;15.12.2008;;;;SN;Leipzig;Wiederitzsch;04158;Mistelbogen;1;;;50hertz.com
E41081010000000000000000000143005;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;99.0;;;;nein;null;15.12.2009;;;;SN;Leipzig;Mölkau;04316;Gutberletstr.;18;;;50hertz.com
E41081010000000000000000000183346;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;12.0;;;;nein;null;22.12.2011;;;;SN;Leipzig;Seehausen;04356;Am Anger;45;;;50hertz.com
E41081010000000000000000000143225;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;27.0;;;;nein;null;08.10.2009;;;;SN;Leipzig;Lausen-Grünau;04249;Gerhard-Ellrodt-Str.;170;;;50hertz.com
E40770010000010000000004322800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.3;;;;nein;null;02.03.2010;;;;SN;Leipzig;;04249;Moosbeerweg;9;;;50hertz.com
E40770010000010000000004398600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;6.3;;;;nein;null;01.04.2010;;;;SN;Leipzig;;04329;Falterstr.;53;;;50hertz.com
E41081010000000000000000000161319;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.0;;;;nein;null;30.09.2010;;;;SN;Leipzig;Liebertwolkwitz;04288;Clemens-Thieme-Str.;11;;;50hertz.com
E41081010000000000000000000181575;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;10.5;;;;nein;null;01.11.2011;;;;SN;Leipzig;Wiederitzsch;04158;Marmontstr.;14;;;50hertz.com
E41081010000000000000000000202411;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.0;;;;nein;null;19.12.2012;;;;SN;Leipzig;Lausen-Grünau;04207;Thomas-Müntzer-Str.;2;;;50hertz.com
E41081010000000000000000000009928;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;850.0;;;;nein;null;02.08.2006;;;;SN;Leipzig;Großzschocher;04249;Raiffeisenstr.;999;;;50hertz.com
E40770010000010000000001763200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;19.8;;;;nein;null;07.12.2006;;;;SN;Leipzig;;04109;Mainzer Str.;2;;;50hertz.com
E40770010000010000000001501200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.8;;;;nein;null;20.07.2006;;;;SN;Leipzig;;04207;Rapsweg;163;;;50hertz.com
E40770010000010000000004533200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.6;;;;nein;null;22.06.2010;;;;SN;Leipzig;;04357;Lermontowstr.;28;;;50hertz.com
E40770010000010000000004453500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;25.0;;;;nein;null;28.04.2010;;;;SN;Leipzig;;04129;Dessauer Str.;26;;;50hertz.com
E40770010000010000000004536800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;9.8;;;;nein;null;28.06.2010;;;;SN;Leipzig;;04177;Demmeringstr.;31;;;50hertz.com
E41081010000000000000000000169525;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8.0;;;;nein;null;04.05.2011;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Schkorlopper Str.;4;;;50hertz.com
