Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück
E40770010000010000000005950600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;11.07.2012;;;;SN;Leipzig;;04249;Weigandtweg;69;;
E41081010000000000000000000163100;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;30.0;nein;SOP;nicht regelbar;nein;null;22.12.2010;;;;SN;Leipzig;Mölkau;04316;Gutberletstr.;18;;
E41081010000000000000000000117365;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.0;nein;SOP;nicht regelbar;nein;null;14.06.2007;;;;SN;Leipzig;Liebertwolkwitz;04288;Gartenbogen;1;;
E40770010000010000000003325200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.5;nein;;;nein;null;15.12.2008;;;;SN;Leipzig;;04277;Koburger Str.;20;;
E40770010000010000000006066000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;13.5;nein;;;nein;null;13.11.2012;;;;SN;Leipzig;;04315;Ludwigstr.;103;;
E41081010000000000000000000149110;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;140.0;ja;SOL;regelbar nach § 6 Abs. 1 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
E41081010000000000000000000149119;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;140.0;ja;SOL;regelbar nach § 6 Abs. 1 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
E40770010000010000000006309000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;6.0;;;;nein;null;22.03.2013;;;;SN;Leipzig;;04249;Raiffeisenstr.;18a;;
E41081010000000000000000000030229;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;12.0;nein;SOP;nicht regelbar;nein;null;31.05.2006;;;;SN;Leipzig;Lindenthal;04158;Weststr.;6;;
E40770010000010000000005932900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;;nein;null;17.09.2012;;;;SN;Leipzig;;04159;Goldene Hufe;61;;
E40770010000010000000003297200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;17.10.2008;;;;SN;Leipzig;;04207;Lausner Weg;38;;
E40770010000010000000006600400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.1;;;;nein;null;26.07.2013;;;;SN;Leipzig;;04315;Torgauer Str.;34;;
E40770010000010000000006600200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;10.0;;;;nein;null;26.07.2013;;;;SN;Leipzig;;04177;Hebelstr.;18;;
E40770010000010000000006604500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.3;;;;nein;null;09.08.2013;;;;SN;Leipzig;;04315;Mariannenstr.;59;;
E40770010000010000000006590900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.0;;;;nein;null;20.07.2013;;;;SN;Leipzig;;04279;Kahlhoffweg;5;;
