Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000125833;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;30.04.2008;;;;SN;Leipzig;Mölkau;04316;Sophie-Scholl-Str.;1;;;MitNetz.pdf
E41081010000000000000000000189890;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;08.03.2012;;;;SN;Leipzig;Holzhausen;04288;Kärrnerstr.;81;;;MitNetz.pdf
E41081010000000000000000000125945;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;19.08.2008;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;An der Teichmühle;3;;;MitNetz.pdf
E41081010000000000000000000126206;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;10.07.2008;;;;SN;Leipzig;Holzhausen;04288;Untere Nordstr.;10;;;MitNetz.pdf
E41081010000000000000000000126227;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;30.04.2008;;;;SN;Leipzig;Wiederitzsch;04158;Mohnweg;10;;;MitNetz.pdf
E41081010000000000000000000126646;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;26.05.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Am Gundorfer Teich;17;;;MitNetz.pdf
E41081010000000000000000000126686;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;11.06.2008;;;;SN;Leipzig;Mölkau;04316;Aprikosenweg;22;;;MitNetz.pdf
E41081010000000000000000000127135;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9;;SOP;;;;17.06.2008;;;;SN;Leipzig;Liebertwolkwitz;04288;Walter-Rathenau-Str.;3;;;MitNetz.pdf
E41081010000000000000000000127299;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;15.07.2008;;;;SN;Leipzig;Engelsdorf;04319;Gartenstr.;22;;;MitNetz.pdf
E41081010000000000000000000127333;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;04.07.2008;;;;SN;Leipzig;Mölkau;04316;Ulmenweg;30;;;MitNetz.pdf
E41081010000000000000000000127462;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;26.06.2008;;;;SN;Leipzig;Lützschena-Stahmeln;04159;An der Kirschallee;12;;;MitNetz.pdf
E41081010000000000000000000127587;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;20.06.2008;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Zum Bahnhof;1;;;MitNetz.pdf
E41081010000000000000000000127757;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;10;;SOP;;;;18.07.2008;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Elstermühlweg;4;;;MitNetz.pdf
E41081010000000000000000000127916;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;31.07.2008;;;;SN;Leipzig;Holzhausen;04288;Arthur-Polenz-Str.;29;;;MitNetz.pdf
E41081010000000000000000000128384;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;10;;SOP;;;;19.12.2008;;;;SN;Leipzig;Lindenthal;04158;Wilhelm-Pfennig-Str.;68;;;MitNetz.pdf
E41081010000000000000000000128411;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;25;;SOP;;;;19.12.2008;;;;SN;Leipzig;Lindenthal;04158;Wilhelm-Pfennig-Str.;67;;;MitNetz.pdf
E41081010000000000000000000128414;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;18;;SOP;;;;19.12.2008;;;;SN;Leipzig;Lindenthal;04158;Pitschkestr.;11;;;MitNetz.pdf
E41081010000000000000000000128733;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;07.08.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Am Wiesenblick;38;;;MitNetz.pdf
E41081010000000000000000000129592;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;24.10.2008;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Rentzsch-Weg;7;;;MitNetz.pdf
E41081010000000000000000000130318;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;21.11.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Althener Anger;5;;;MitNetz.pdf
E41081010000000000000000000130476;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;10.11.2008;;;;SN;Leipzig;Lindenthal;04158;Parkring;158;;;MitNetz.pdf
E41081010000000000000000000130489;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9;;SOP;;;;04.11.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;48;;;MitNetz.pdf
E41081010000000000000000000123777;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;71;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134774;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;89;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134775;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;13;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134776;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;30;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134777;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;44;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134778;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;21;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000134779;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;81;;SOL;;;;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
